scrubbed_genus,scrubbed_species_binomial,latitude,longitude,extant_of_fossil,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world,on map coded,gbifID(OnlyRecordedForC.pechuelii)
Paullinia,Paullinia bracteosa,8.594444,-83.425,extant,5/17/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia tenuifolia,8.98,-83.42,extant,5/21/76,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia grandifolia,9.82,-83.42,extant,6/30/76,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia grandifolia,9.82,-83.42,extant,6/30/76,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia grandifolia,9.82,-83.4,extant,7/1/76,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia ingaefolia,8.770833,-83.393056,extant,12/14/90,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia ingifolia,8.7541667,-83.3930555,extant,12/14/90,MO,CR,CR,CR,NA,280,1,NA,
Paullinia,Paullinia cururu,8.752778,-83.383333,extant,9/5/91,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,9.991667,-83.377778,extant,5/22/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia rugosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,9.991667,-83.377778,extant,5/22/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,9.991667,-83.377778,extant,5/22/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia rugosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia rugosa,8.772222,-83.377778,extant,6/29/91,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,9.991667,-83.377778,extant,5/22/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia rugosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,9.991667,-83.377778,extant,5/22/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,9.991667,-83.377778,extant,5/24/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,9.9916666,-83.3777778,extant,5/22/00,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia rugosa,9.99166,-83.37777,extant,5/24/00,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia bracteosa,9.99166,-83.37777,extant,5/24/00,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia rugosa,9.99,-83.37,extant,5/24/00,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia cururu,8.75,-83.37,extant,9/5/91,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia bracteosa,9.99,-83.37,extant,5/24/00,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia pinnata,9.99,-83.37,extant,5/22/00,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia rugosa,8.77,-83.37,extant,6/29/91,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia cururu,8.75,-83.37,extant,9/5/91,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia pinnata,8.498694,-83.367944,extant,4/9/14,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,8.498694,-83.367944,extant,4/9/14,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pinnata,8.498694,-83.367944,extant,4/9/14,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fuscescens,8.515895,-83.334126,extant,1/2/05,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fuscescens,8.515895,-83.334126,extant,1/2/05,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
